premise_1,premise_2,middletrem_1,middleterm_2,not_middleterm_1,not_middleterm_2,conclusion
Creating a job is one of the advantages of an extension of commerce.,The reduction in transport costs is a key factor underlying the growth in trade., an extension of commerce.,the growth in trade.,Creating a job is one of the advantages of,The reduction in transport costs is a key factor underlying ,The reduction in transport costs is a key factor underlying the creating job.
"When antibiotic treatment is not sufficient, you should take stronger medicine.",Interactions between alcohol and certain antibiotics decrease the effectiveness of antibiotic therapy., antibiotic treatment is not sufficient, decrease the effectiveness of antibiotic therapy.,"When, you should take stronger medicine.",Interactions between alcohol and certain antibiotics,Interactions between alcohol and certain antibiotics can lead to taking stronger medicine.
Oysters are one of the best food sources of zinc.,Zinc is a mineral that helps support the hair growth and repair cycle,zinc,Zinc ,Oysters are one of the best food sources of .,is a mineral that helps support the hair growth and repair cycle,Oysters are one of the best food sources that help to support the hair growth and repair cycle
You'll be more confident in social situations when you won't smell of stale smoke any more.,"When you stop smoking, you won't have the scent of smoke and soot.", you won't smell of stale smoke ,you won't have the scent of smoke and soot.,You'll be more confident in social situations whenany more.,"When you stop smoking, ",You'll be more confident in social situations when you stop smoking
Brain assumes that any information you¡¯ve told to another person must be pretty important and tries to keep it longer.,When you want to teach others you tell them the information you have., any information you¡¯ve told to another person ,you tell them the information you have.,Brain assumes thatmust be pretty important and tries to keep it longer.,When you want to teach others ,When you want to teach others you keep the information longer.
Poverty and lack of schools are considered the primary cause of child labour.,working at a young age deprives kids of their childhood, child labour.,working at a young age,Poverty and lack of schools are considered the primary cause of, deprives kids of their childhood,Poverty and lack of schools are considered the primary cause of depriving children of their childhood
"with the establishment of hardware during the industrial revolution, the capital and space requirements became too great for cottage industry or workshops",Factories arose with the introduction of machinery during the Industrial Revolution,with the establishment of hardware during the industrial revolution, with the introduction of machinery during the Industrial Revolution,", the capital and space requirements became too great for cottage industry or workshops",Factories arose,Factories arose after the capital and space requirements became too great for cottage industry or workshops
American bison possesses high content of meat and wool.,Native Indians were looking to hunt animals with sufficient amount of meat and wool.,American bisonpossesses high content of meat and wool.,animals with sufficient amount of meat and wool., ,Native Indians were looking to hunt ,Native Indians were hunting American Bison.
In cases of excessive technology use there is a possibility of becoming addicted to the phone and social media.,"people who are mobile-addicted, tend to feel uncomfortable in face-to-face communication.", becoming addicted to the phone ,who are mobile-addicted,In cases of excessive technology use there is a possibility ofand social media.,"people , tend to feel uncomfortable in face-to-face communication.",In cases of excessive technology use there is a possibility of feeling uncomfortable in face-to-face communication.
Those who go to war believe might is right.,When might become right thinking stops.,believe might is right.,Whenmight become right,Those who go to war ,  thinking stops.,Those who go to war will stop thinking.
"If everyone started doing all their shopping online, all the local stores would go out of business.","When all the shops in town are withdrawn, we'll have to drive further and further away to shop at a real store.",all the local stores would go out of business.,"all the shops in town are withdrawn,","If everyone started doing all their shopping online, ",When  we'll have to drive further and further away to shop at a real store.,"If everyone started doing all their shopping online, we'll have to drive further and further away to shop at a real store."
