,0,1,2,3,4,5,6,7,8,9,10
1837,<|startoftext|>,The debilitation of Escobar's partners in Columbia dropped the crime rate by 70% in the country.,<|and|>,The elimination of Escobar weakened his crime associates in Columbia.,<|notmiddleterm|>, dropped the crime rate by 70% in the country.,<|and|>,The elimination of Escobar ,<|so|>,The elimination of Escobar dropped the crime rate by 70% percent in Columbia.,<|endoftext|>
2052,<|startoftext|>,States with better public welfares require high tax payments.,<|and|>,California is equipped with various amount of public service options.,<|notmiddleterm|>,States require high tax payments.,<|and|>,California is,<|so|>,California require high tax payments,<|endoftext|>
318,<|startoftext|>,We need vitamin D to help the body absorb calcium and phosphate from our diet.,<|and|>,The two main ways to get vitamin D are by exposing your bare skin to sunlight and by taking vitamin D supplements,<|notmiddleterm|>,We need  to help the body absorb calcium phosphate from our diet.,<|and|>,The two main ways to get  are by exposing your bare skin to sunlight by taking  supplements,<|so|>,"to help our body to absorb calcium and phosphate, we should expose our bare skin to sunlight or take vitamin D supplement",<|endoftext|>
50,<|startoftext|>,"In Brazil, 53% of entrepreneurs operate on their own, with no co-founders or employees (solopreneur)",<|and|>,Sometimes there are solopreneurs that build everything they need using freelancers,<|notmiddleterm|>,"In Brazil, 53% of , with no co-founders or employees (solopreneur)",<|and|>,Sometimes there are that build everything they need using freelancers,<|so|>,freelancers can find many jobs from brazil,<|endoftext|>
1481,<|startoftext|>,checking health properties frequently lessen the rate of sudden deaths.,<|and|>,many phone and desktop apps help you to easily monitor your health characteristics at any time of the day.,<|notmiddleterm|>,lessen the rate of sudden deaths.,<|and|>,many phone and desktop apps help you to your,<|so|>,phone and desktop apps help you to lessen the rate of sudden deaths.,<|endoftext|>
1714,<|startoftext|>,"While acting what others do, people might even risk losing their own individuality.",<|and|>,"Teens who want to adopt the lifestyle of their peers, feel the pressure of doing what everybody else do.",<|notmiddleterm|>,"While, people might even risk losing their own individuality.",<|and|>,"Teens who want to adopt the lifestyle of their peers, feel the pressure of",<|so|>,"Teens who want to adopt the lifestyle of their peers, might even risk losing their own individuality.",<|endoftext|>
2006,<|startoftext|>,Christian clergy abuse caused people to begin criticizing the catholic church.,<|and|>,Criticizing the catholic church ended in Protestant Reformation.,<|notmiddleterm|>,Christian clergy abuse caused people to begin,<|and|>, ended in Protestant Reformation.,<|so|>,Christian clergy abuse ended in Protestant Reformation.,<|endoftext|>
227,<|startoftext|>,"If teenage boys are constantly connected to games, they will be disconnected from everything",<|and|>,Players can become increasingly connected to what is currently happening in the game simply by viewing the story of the game played so far,<|notmiddleterm|>,If teenage boysthey will be disconnected from everything,<|and|>,Players cansimply by viewing the story of the game played so far,<|so|>,teenage players may be disconnected from every thing,<|endoftext|>
261,<|startoftext|>,alcohol leads to impaired judgment.,<|and|>,People with weakened understanding and sense are not able to quickly react in certain driving situations.,<|notmiddleterm|>,alcohol leads to,<|and|>,People with  are not able to quickly react in certain driving situations.,<|so|>,alcohol leads to being unable to quickly react in certain driving situations.,<|endoftext|>
2379,<|startoftext|>,the ozone layer is typically thinner near the equator,<|and|>,the narrower the layer the less ozone in that particular area,<|notmiddleterm|>, typically near the equator,<|and|>, the less ozone in that particular area,<|so|>,there is typically less ozone near the equator,<|endoftext|>
1701,<|startoftext|>,Electrical transmission lines should be made from suitable electrical conductor metals in order to transmit the electricity easily.,<|and|>,Aluminium is a good electrical conductor.,<|notmiddleterm|>,Electrical transmission lines should be made from in order to transmit the electricity easily.,<|and|>,,<|so|>,Electrical transmission lines should be made from Aluminium in order to transmit the electricity easily.,<|endoftext|>
2178,<|startoftext|>,Seeking the alliance of other countries by Germany formed the Axis forces Alliance.,<|and|>,The heavy resistance of England and other major European countries made Germany to find allies.,<|notmiddleterm|>,other countries formed the Axis forces Alliance.,<|and|>,The heavy resistance of England and other major European countries made,<|so|>,The heavy resistance of England and other major European countries formed the Axis forces Alliance.,<|endoftext|>
